,lat,lng
225,33.2977196,126.1948059
226,33.4817787,126.5076592
227,33.4771218,126.5496970
228,33.5147584,126.5292263
229,33.3858098,126.2664957
230,33.5412098,126.6699996
231,33.4902029,126.4311534
232,33.3879738,126.2275671
233,33.4235778,126.2773614
234,33.5172705,126.5882746
235,33.4863878,126.4600365
236,33.4112305,126.2651815
237,33.4991911,126.5485209
238,33.4637274,126.3394456
239,33.4992371,126.5283830
240,33.4850274,126.4920116
241,33.3038594,126.2465428
242,33.5043526,126.6285733
243,33.5063885,126.4670817
244,33.4817037,126.5050752
245,33.4865750,126.4321507
246,33.5115652,126.5373171
247,33.4712188,126.5434973
248,33.5012225,126.4558555
249,33.3395484,126.2781567
250,33.4862402,126.5349054
251,33.5032325,126.4635610
252,33.4916926,126.4738719
253,33.4937423,126.4316835
254,33.4819320,126.4742171
255,33.5098057,126.5127985
256,33.4984990,126.5294097
257,33.5153480,126.5296735
258,33.4725895,126.7089996
259,33.4955831,126.5427548
260,33.3647204,126.1982511
261,33.5510471,126.7711871
262,33.4945759,126.8068677
263,33.4891496,126.4746777
264,33.5555940,126.7957869
265,33.5171113,126.5788369
266,33.4852191,126.6038657
267,33.3623769,126.1941792
268,33.4876631,126.4789553
269,33.4770333,126.4903472
270,33.4733458,126.5424785
271,33.4848387,126.4295994
272,33.5172705,126.5882746
273,33.5197832,126.5723458
274,33.5153480,126.5296735
275,33.5025285,126.5424081
276,33.4861374,126.4310916
277,33.4653730,126.4853087
278,33.5042367,126.5168388
279,33.4874865,126.4918170
280,33.4962797,126.5433288
281,33.5133206,126.5058519
282,33.4896571,126.5356502
283,33.4949263,126.8089531
284,33.4865619,126.4904848
285,33.4944650,126.5092270
286,33.5433184,126.6727797
287,33.4668648,126.3392140
288,33.4861707,126.4913699
289,33.4424790,126.2786718
290,33.5081218,126.5253206
291,33.4794561,126.4740785
292,33.4727037,126.5293853
293,33.5038064,126.9676535
294,33.4670979,126.3202954
295,33.4369970,126.6803535
296,33.4836874,126.4826356
297,33.5014087,126.5135548
298,33.4845484,126.4841262
299,33.4969371,126.5374790
300,33.3224310,126.2481370
301,33.5088330,126.5190201
302,33.5352543,126.6278803
303,33.4902384,126.4205438
304,33.4930285,126.8102632
305,33.4944446,126.9027605
306,33.4166738,126.2642037
307,33.4991938,126.5011171
308,33.4870315,126.4775780
309,33.4902312,126.4327421
310,33.4872856,126.4319192
311,33.4853929,126.4917487
312,33.5423955,126.6711328
313,33.4717507,126.5652872
314,33.4850661,126.5353542
315,33.4893208,126.5350799
316,33.5166672,126.5355253
317,33.4985915,126.5312362
318,33.4714356,126.5511143
319,33.5175254,126.5738974
320,33.5129100,126.5381585
321,33.4945142,126.4355720
322,33.4893921,126.4126966
323,33.4806950,126.4946501
324,33.3034146,126.1792888
325,33.4940088,126.5496058
326,33.4641124,126.3208382
327,33.4882792,126.4313932
328,33.4874970,126.4913656
329,33.4733272,126.5447710
330,33.5366433,126.8380854
331,33.3973533,126.2447073
332,33.4482867,126.3015642
333,33.5162554,126.5283864
334,33.5017583,126.4561402
335,33.5151363,126.5294703
336,33.5147523,126.5203973
337,33.4942964,126.5449501
338,33.4816942,126.4834369
339,33.4860780,126.4884690
340,33.5027161,126.9436180
341,33.3893447,126.2315138
342,33.5234501,126.8521386
343,33.5432303,126.6622517
344,33.4518907,126.4888690
345,33.5127484,126.5271874
346,33.5080950,126.5178270
347,33.4163159,126.2651631
348,33.5314062,126.6654862
349,33.4873149,126.7036765
350,33.4806206,126.4053450
351,33.5128412,126.5286993
352,33.5022536,126.5471516
353,33.4773019,126.4881141
