,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
8122,샐러드바스켓연동점,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 연동 272-27,"제주특별자치도 제주시 삼무로 46, 1층 (연동)",33.4896378,126.4915308
8123,공룡마라탕앤꼬치3호점,일반음식점,기타,제주특별자치도 제주시 화북일동 1989-28 수성빌라,"제주특별자치도 제주시 진동로1길 16, 1층 101호 (화북일동, 수성빌라)",33.5192032,126.5659656
8124,서피플,일반음식점,기타,제주특별자치도 제주시 애월읍 곽지리 1565-47번지,"제주특별자치도 제주시 애월읍 곽지9길 21, 1층",33.4515134,126.3070282
8125,뉴제주,일반음식점,기타,제주특별자치도 제주시 노형동 1068-8번지 천마빌딩,"제주특별자치도 제주시 월랑로4길 17, 천마빌딩 2층 (노형동)",33.4886755,126.4790088
8126,춘천막국수,일반음식점,기타,제주특별자치도 제주시 화북일동 1986-2,"제주특별자치도 제주시 진남로6길 14, 1층 (화북일동)",33.5198763,126.5658421
8127,황금손가락삼화점,일반음식점,기타,제주특별자치도 제주시 도련일동 1940-3,"제주특별자치도 제주시 건주로4길 14-8, 1층 (도련일동)",33.5165025,126.5793649
8128,폴레,일반음식점,기타,제주특별자치도 제주시 연동 283-7번지,제주특별자치도 제주시 은남3길 33 (연동),33.4872437,126.4922439
8129,시간여행,일반음식점,기타,제주특별자치도 제주시 삼도일동 569-27,"제주특별자치도 제주시 서사로 152, 지하1층 (삼도일동)",33.4989106,126.5195703
8130,수복해장국,일반음식점,기타,제주특별자치도 제주시 노형동 2612-1 노성주택,"제주특별자치도 제주시 수덕7길 25, 에이동 1층 102호 (노형동, 노성주택)",33.4858662,126.4749239
8131,도도름,일반음식점,기타,제주특별자치도 제주시 연동 272-2,"제주특별자치도 제주시 삼무로 36, 1층 (연동)",33.4896796,126.4904788
8132,수리코,일반음식점,기타,제주특별자치도 제주시 한경면 조수리 1085,제주특별자치도 제주시 한경면 조수설목1길 8,33.3421548,126.2258332
8133,카페에벤에셀,일반음식점,기타,제주특별자치도 제주시 노형동 82-2,"제주특별자치도 제주시 1100로 3198-20, 1층 (노형동)",33.4729489,126.4858159
8134,빌라드돌핀,일반음식점,기타,제주특별자치도 제주시 조천읍 와산리 1559-18,"제주특별자치도 제주시 조천읍 함와로 566-27, 101동 1층",33.4939080,126.6767815
8135,선카페,일반음식점,기타,제주특별자치도 제주시 일도일동 1069-4,"제주특별자치도 제주시 동문로 47, 2층 (일도일동)",33.5134031,126.5316124
8136,제주미소,일반음식점,기타,제주특별자치도 제주시 일도이동 68-3,"제주특별자치도 제주시 연수로1길 6, 1층 (일도이동)",33.5017466,126.5436556
8137,오래된구름,일반음식점,기타,제주특별자치도 제주시 조천읍 선흘리 2836-9번지,"제주특별자치도 제주시 조천읍 북선로 372, 1층",33.5118859,126.6995603
8138,난춘식당,일반음식점,기타,제주특별자치도 제주시 한림읍 옹포리 556,"제주특별자치도 제주시 한림읍 한림로 496, 제1호",33.4033898,126.2523243
8139,플러키,일반음식점,기타,제주특별자치도 제주시 이도이동 1970-13,"제주특별자치도 제주시 남광로 56, 1층 (이도이동)",33.4948075,126.5413065
8140,도누케이크하우스,일반음식점,기타,제주특별자치도 제주시 한림읍 협재리 1725-1,"제주특별자치도 제주시 한림읍 협재1길 4, 1층",33.3959089,126.2423406
8141,별돈별협재해변점,일반음식점,기타,제주특별자치도 제주시 한림읍 협재리 1725-1번지,"제주특별자치도 제주시 한림읍 협재1길 4, 2층",33.3959089,126.2423406
8142,곰솔해장국,일반음식점,기타,제주특별자치도 제주시 삼도이동 1241-2번지,"제주특별자치도 제주시 중앙로24길 1, 1층 (삼도이동)",33.5064776,126.5246652
